Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
6,899;0,675;1,895;0,675;18,95
6,999;0,555;1,92;0,555;19,2
7,1;0,435;1,95;0,435;19,5
7,2;0,345;1,98;0,345;19,8
7,3;0,285;2,005;0,285;20,05
7,401;0,255;2,035;0,255;20,35
7,5;0,225;2,06;0,225;20,6
7,6;0,21;2,09;0,21;20,9
7,7;0,195;2,115;0,195;21,15
7,8;0,195;2,145;0,195;21,45
7,899;0,21;2,175;0,21;21,75
8,001;0,225;2,2;0,225;22
8,101;0,255;2,23;0,255;22,3
8,2;0,27;2,255;0,27;22,55
8,299;0,315;2,285;0,315;22,85
8,4;0,345;2,315;0,345;23,15
8,501;0,39;2,34;0,39;23,4
8,6;0,45;2,37;0,45;23,7
8,699;0,615;2,395;0,615;23,95
8,8;0,885;2,425;0,885;24,25
8,9;1,26;2,45;1,26;24,5
9;1,665;2,48;1,665;24,8
9,099;1,98;2,51;1,98;25,1
9,2;2,25;2,535;2,25;25,35
9,3;2,505;2,565;2,505;25,65
9,4;2,79;2,59;2,79;25,9
9,499;3,105;2,62;3,105;26,2
9,599;3,405;2,645;3,405;26,45
9,7;3,66;2,675;3,66;26,75
9,799;3,885;2,7;3,885;27
9,899;4,11;2,73;4,11;27,3
10;4,32;2,755;4,32;27,55
10,1;4,515;2,785;4,515;27,85
10,2;4,665;2,815;4,665;28,15
10,3;4,815;2,84;4,815;28,4
10,4;4,95;2,87;4,95;28,7
10,5;5,07;2,895;5,07;28,95
10,6;5,16;2,925;5,16;29,25
10,7;5,25;2,955;5,25;29,55
10,8;5,325;2,98;5,325;29,8
10,899;5,385;3,01;5,385;30,1
11;5,445;3,035;5,445;30,35
11,1;5,475;3,065;5,475;30,65
11,2;5,505;3,09;5,505;30,9
